id,member_id,ssn,first_name,last_name,gender,race,language,phone,email,address_line_1,address_line_2,city,state,zip,existing_conditions
44,17-163-0093,,Hinze,Merrison,Female,,Tok Pisin,,hmerrison17@huffingtonpost.com,1 Kings Parkway,,New York City,New York,10105,FALSE
45,40-404-6916,335-52-4750,Regan,Munn,,Pima,,,rmunn18@unicef.org,1 Eagle Crest Way,5138,Kansas City,Kansas,66160,FALSE
46,11-346-9661,789-16-1476,Matthias,Del Checolo,Male,,,,mdelchecolo19@alexa.com,7 Northridge Circle,93,Los Angeles,California,90045,
47,87-979-7675,,Flossy,Heining,Female,Menominee,Papiamento,,fheining1a@odnoklassniki.ru,582 Johnson Way,64847,Roanoke,Virginia,24040,
48,28-709-1963,,Gwyn,Edser,Male,Spaniard,,,gedser1b@shutterfly.com,8 Schmedeman Court,,Corona,California,92883,TRUE
49,88-820-7800,638-98-0845,Winston,Knappitt,Female,,Thai,860-164-3203,wknappitt1c@hhs.gov,0 Nevada Terrace,,Hartford,Connecticut,6183,FALSE
50,68-947-9688,618-91-8392,Morgun,Elcoat,Female,,,760-107-7621,melcoat1d@addthis.com,69888 Riverside Center,,San Diego,California,92127,
51,27-182-8649,111-06-0542,Sib,Witul,Male,,Gujarati,,,2 Armistice Way,3814,Colorado Springs,Colorado,80935,
52,07-069-5708,598-23-9571,Wadsworth,Coggill,Female,,,,,7 Petterle Road,,Newport News,Virginia,23612,FALSE
53,32-927-3554,585-67-4970,Paulita,Penhearow,,,Montenegrin,,ppenhearow1g@myspace.com,25 Farwell Center,512,Fullerton,California,92835,
54,02-313-1348,,Liv,Gonning,Female,Pueblo,,,,6 Sullivan Plaza,3,Schenectady,New York,12305,
55,02-341-1283,,Maxie,Nussey,Male,Apache,Bislama,,mnussey1i@umich.edu,28 Scofield Place,493,Boulder,Colorado,80305,FALSE
56,22-048-3844,306-97-8368,Dedie,Lycett,Male,,,916-176-7236,dlycett1j@uol.com.br,50 Duke Way,4725,Sacramento,California,95833,
57,30-283-1629,,Cosetta,Huband,,Central American,Zulu,,,291 Schiller Alley,,Bronx,New York,10469,FALSE
58,28-298-8413,395-30-8764,Pamela,Blythe,,,,,,572 Twin Pines Center,,Oakland,California,94622,
59,25-214-5426,326-25-9242,Nady,Foggo,Male,Alaskan Athabascan,Dhivehi,,nfoggo1m@latimes.com,7688 Mallard Avenue,,Bethlehem,Pennsylvania,18018,
60,60-899-1298,766-30-3316,Mil,Bolsover,,,,,mbolsover1n@domainmarket.com,5 Karstens Trail,772,Bronx,New York,10464,FALSE
61,12-654-2711,122-82-9455,Marylinda,Dacca,Male,Pima,Dzongkha,,,613 Nelson Circle,,Hicksville,New York,11854,
62,80-095-5259,495-95-0839,Helli,Eunson,,Chinese,Punjabi,571-442-1795,heunson1p@wikipedia.org,45830 Elka Junction,,Richmond,Virginia,23277,
63,12-685-3527,,Wendall,Learoyde,Female,Choctaw,,,wlearoyde1q@java.com,385 Atwood Drive,279,Roanoke,Virginia,24009,
64,43-362-2520,344-10-4200,Claiborne,Pedican,,Colville,Fijian,209-503-0782,,87 Corben Terrace,,Fresno,California,93704,TRUE
65,15-296-2156,294-67-4688,Abdul,Lowndsbrough,Female,,,916-494-5955,,12840 Surrey Plaza,,Sacramento,California,94237,
66,82-006-5524,294-96-7512,Rudolph,Lindsell,Female,,Dhivehi,703-135-0029,,9 North Place,67,Arlington,Virginia,22205,FALSE
67,59-716-3376,270-81-3988,Maritsa,Drysdell,,Uruguayan,Dutch,,mdrysdell1u@wikia.com,95 Graedel Road,9,San Diego,California,92176,FALSE
68,71-618-6691,690-03-9976,Leshia,Cassey,Male,Sri Lankan,,714-333-6726,lcassey1v@ehow.com,184 Gateway Lane,,Santa Ana,California,92725,TRUE
69,24-073-0937,,Ingeborg,Morfett,,Malaysian,,434-622-6977,imorfett1w@go.com,0566 Messerschmidt Court,563,Lynchburg,Virginia,24515,
70,78-394-7106,,Lyle,Shilladay,Male,Paraguayan,,646-755-7826,lshilladay1x@wiley.com,27 Tomscot Crossing,,New York City,New York,10155,
71,99-119-7340,,Adelind,Beentjes,Male,,Malagasy,,,453 Melby Pass,6587,Norfolk,Virginia,23514,FALSE
72,29-972-8358,852-30-9841,Stinky,Shadbolt,Female,,,914-589-5765,sshadbolt1z@blogger.com,3460 Troy Court,969,Yonkers,New York,10705,
73,97-609-7706,305-95-9279,Nara,Wibrow,,Yuman,,913-729-7522,,92 Reinke Alley,,Kansas City,Kansas,66105,
74,74-660-1898,,Arluene,Fettiplace,Male,,Bulgarian,,afettiplace21@etsy.com,34 Hintze Trail,261,San Jose,California,95128,
75,42-263-5560,,Dagny,Streeter,,,Kyrgyz,,dstreeter22@domainmarket.com,27696 Ridgeview Drive,98157,Lynchburg,Virginia,24515,
76,79-572-9049,852-98-9861,Mikael,Szymanek,Male,,,,mszymanek23@qq.com,9178 Barnett Alley,,Hartford,Connecticut,6152,
77,87-162-0160,793-18-3327,Meier,De Benedetti,Male,,Indonesian,646-727-8459,mdebenedetti24@deliciousdays.com,681 Everett Court,,New York City,New York,10155,
78,83-106-0653,357-60-8157,Rusty,De Laci,,Yuman,Northern Sotho,757-524-5700,rdelaci25@cloudflare.com,840 Ridge Oak Trail,,Hampton,Virginia,23663,
79,19-137-6130,,Hermy,Pacquet,,,,,hpacquet26@geocities.jp,282 Jay Plaza,9,Inglewood,California,90398,FALSE
80,78-264-3386,,Tedra,Pask,Male,Latin American Indian,Khmer,,,6163 Del Sol Lane,,Denver,Colorado,80262,
81,53-727-6096,,Warner,Joyes,Male,Ute,West Frisian,719-852-8231,,36291 Northport Court,,Colorado Springs,Colorado,80915,TRUE
82,44-024-6579,579-80-4842,Rudiger,Donnachie,Male,Paiute,Catalan,,rdonnachie29@cocolog-nifty.com,8218 Northland Drive,,Erie,Pennsylvania,16550,
83,15-497-7515,543-33-7532,Letizia,De Beneditti,Male,Uruguayan,Kyrgyz,,ldebeneditti2a@tmall.com,24677 Darwin Road,58,Los Angeles,California,90189,
84,33-272-3817,451-53-3946,Reinhard,Ruf,Female,,,858-974-3850,rruf2b@bloomberg.com,14117 Basil Terrace,59915,San Francisco,California,94121,
85,86-961-8949,536-84-7195,Humfrey,Eilhart,,Cheyenne,Montenegrin,202-807-5040,,8 Norway Maple Hill,,Alexandria,Virginia,22301,
86,84-780-6473,761-89-8779,Tanya,Echlin,Female,,Bislama,,,51 Mendota Street,,Huntington Beach,California,92648,
87,56-915-8996,247-69-0423,Melvin,Bilton,Female,,Japanese,,,37974 Killdeer Crossing,,San Jose,California,95138,
88,83-821-7350,291-35-8240,Garik,Pawellek,Male,,Dari,,,7159 Dapin Avenue,0,New York City,New York,10125,
89,48-827-3673,,Eadmund,Eales,Female,Korean,,785-937-9319,,68 Oak Valley Crossing,,Topeka,Kansas,66622,
90,39-482-2647,348-34-0848,Ingemar,Durrant,Male,Filipino,,626-472-7879,idurrant2h@blogspot.com,92 Scott Junction,,Whittier,California,90605,
91,68-444-6862,863-40-9412,Cliff,Denniss,Male,,,571-285-3331,cdenniss2i@ebay.com,514 Anthes Park,,Springfield,Virginia,22156,TRUE
92,89-565-2060,429-19-2642,Guido,McPhelimey,Female,,,215-590-5927,gmcphelimey2j@xrea.com,574 Stang Circle,69080,Philadelphia,Pennsylvania,19146,FALSE
93,95-983-0132,,Elmore,Chillcot,Male,Sri Lankan,Kannada,,,954 Esker Crossing,,Garden Grove,California,92844,FALSE
94,80-559-4133,213-82-2449,Meredith,Baudichon,Male,Ute,German,212-593-2601,,74 Mallory Trail,96163,Jamaica,New York,11480,TRUE
95,73-333-3793,594-12-7568,Indira,Pragnell,,Sioux,Tok Pisin,,,83137 Oriole Junction,,Pittsburgh,Pennsylvania,15274,FALSE
96,64-852-3669,847-46-0294,Wendall,Bownes,,,Yiddish,559-846-6750,,9769 Bartillon Park,,Garden Grove,California,92645,
97,37-815-9740,,Raven,Brosel,Male,,Macedonian,814-180-7874,rbrosel2o@china.com.cn,05 Towne Park,,Erie,Pennsylvania,16565,
98,39-860-2445,166-69-7086,Aurel,Youle,,Ute,Aymara,,ayoule2p@washingtonpost.com,2835 Buell Parkway,24142,Los Angeles,California,90076,
99,67-219-8482,739-32-8631,Jobie,Steanyng,Male,,Gagauz,,jsteanyng2q@joomla.org,28 Old Gate Terrace,,Richmond,Virginia,23272,
100,27-233-1391,531-67-4728,Sinclair,Workes,Female,Chippewa,,646-323-2125,sworkes2r@illinois.edu,4 Texas Hill,7148,Brooklyn,New York,11215,TRUE
101,52-194-5666,399-97-3252,Adolpho,Kedward,Male,,Hebrew,,akedward2s@mlb.com,0 Lindbergh Circle,7375,Bronx,New York,10464,
102,09-712-8728,,Milo,McBryde,,,Korean,,,0 Chinook Junction,,San Diego,California,92153,FALSE
103,29-799-3569,,Flem,Kirimaa,Female,Pima,Malayalam,213-907-0918,,4 La Follette Junction,,Van Nuys,California,91499,
104,66-731-2974,227-39-4392,Vivianna,Pruckner,Female,,,,vpruckner2v@springer.com,109 Trailsway Park,,Dulles,Virginia,20189,
105,35-471-5026,575-71-3394,Base,Heyburn,Male,,Assamese,,bheyburn2w@psu.edu,2 Pierstorff Terrace,,Buffalo,New York,14205,
106,54-993-2202,,Abbie,Mullis,Female,,,,amullis2x@vimeo.com,16 Raven Junction,,Arlington,Virginia,22217,TRUE
107,34-403-1192,327-35-0743,Svend,Parrott,Female,,,,sparrott2y@uiuc.edu,49 Bowman Street,46421,Reston,Virginia,22096,TRUE
108,46-288-8441,670-20-5362,Catriona,Engelmann,,,,530-798-8799,,088 Sherman Trail,,Sacramento,California,95833,
109,85-235-1875,,Lexy,Pollicott,,,Tetum,,,6 Wayridge Terrace,6,Mountain View,California,94042,
110,90-464-2141,403-29-5816,Ambros,Bonsall,Male,Tongan,,,abonsall31@google.co.uk,70 Barby Road,,Pittsburgh,Pennsylvania,15279,
111,52-964-9942,,Waldon,Bolden,Female,Aleut,,916-588-6859,wbolden32@soup.io,4676 Rowland Lane,34585,Sacramento,California,94237,
112,38-361-3550,,Desiri,Stawell,,Colville,,760-605-3176,dstawell33@addthis.com,4457 Burning Wood Alley,3536,San Diego,California,92127,
113,21-732-7233,,Lebbie,Withringten,,,Oriya,914-126-7428,lwithringten34@barnesandnoble.com,88 Hanson Crossing,6,Staten Island,New York,10310,
114,14-319-6606,,Julissa,Attenbrow,Female,Seminole,Croatian,646-721-7847,,2 Pepper Wood Drive,,New York City,New York,10270,FALSE
115,92-236-9490,538-35-0378,Parker,Trustie,Female,Crow,Armenian,212-427-8095,ptrustie36@redcross.org,75344 4th Pass,99879,New York City,New York,10170,
116,99-592-5701,,Annamaria,Peltzer,,,,310-610-9912,,39189 Old Gate Road,,Garden Grove,California,92844,
117,76-149-4610,,Lorianna,Mawford,Female,Ute,Filipino,,,166 Stang Way,,Santa Barbara,California,93106,
118,32-911-1096,353-31-1062,Giordano,Pavlov,Female,Seminole,Khmer,916-992-7336,,153 Claremont Way,78,Sacramento,California,94291,
119,83-613-4181,385-64-3038,John,Eynon,Female,Thai,Bislama,916-253-1964,,23 Dahle Way,0,Sacramento,California,94250,
120,17-347-2982,439-89-5197,Katuscha,Faust,Female,Yuman,,,,6767 Clemons Street,72,Los Angeles,California,90094,TRUE
121,00-547-2361,192-27-9483,Terra,Pudge,Female,Colville,Portuguese,,tpudge3c@bloomberg.com,70 Armistice Drive,9,Dulles,Virginia,20189,
122,66-815-7374,215-15-6991,Chrystal,Maier,Female,Cuban,,,cmaier3d@facebook.com,8 Cottonwood Circle,,Sacramento,California,94291,FALSE
123,57-194-6107,894-67-2477,Pail,Glasgow,Female,,,,,174 Veith Pass,,San Diego,California,92176,
124,49-471-5102,,Donia,Volonte,Male,,,,dvolonte3f@typepad.com,98 Ilene Terrace,5,West Hartford,Connecticut,6127,TRUE
125,49-464-1470,,Molly,Hayhoe,Female,Seminole,Latvian,913-852-0238,,590 Dahle Pass,,Shawnee Mission,Kansas,66225,TRUE
126,56-690-4181,,Aime,Prettejohns,Female,,,718-932-2092,aprettejohns3h@paginegialle.it,4 Cascade Court,86,Brooklyn,New York,11210,TRUE
127,39-180-3801,,Marj,Jagson,Female,,Latvian,,,0 Kipling Point,,Long Beach,California,90805,
128,93-689-3497,,Thaddus,Tayt,,,Tetum,516-404-0513,ttayt3j@myspace.com,4463 Doe Crossing Way,,New Hyde Park,New York,11044,
129,60-962-8254,390-05-9518,Sibylla,Redrup,Male,Polynesian,Catalan,,,94 Acker Plaza,,Harrisburg,Pennsylvania,17110,
130,85-886-1014,,Eziechiele,Uzzell,Male,,Romanian,,,94163 Fairview Crossing,464,Shawnee Mission,Kansas,66286,
131,83-279-0869,665-86-4678,Ely,Witheridge,,,,315-602-5434,ewitheridge3m@acquirethisname.com,694 Brentwood Center,0,Rochester,New York,14614,
132,36-490-1227,,Alexis,Cumes,,,West Frisian,757-677-9743,acumes3n@surveymonkey.com,9650 Troy Parkway,56,Norfolk,Virginia,23509,
133,01-403-4783,838-45-6372,Shantee,Mossdale,Male,,Hiri Motu,408-260-5364,,2 Bunker Hill Trail,6,San Jose,California,95128,FALSE
134,80-582-9651,325-05-1378,Margi,Chandlar,Male,Black or African American,Filipino,805-564-6119,,77070 Sunnyside Hill,6894,Simi Valley,California,93094,
135,46-356-0980,353-31-7348,Blakeley,Blose,Female,,French,,bblose3q@ft.com,80518 Moulton Terrace,332,Rochester,New York,14652,FALSE
136,38-036-6323,,Cash,Hunday,,,Tamil,,chunday3r@myspace.com,953 Longview Trail,,Philadelphia,Pennsylvania,19104,TRUE
137,52-536-3223,188-51-0396,Blaire,Gethouse,Female,,Aymara,,bgethouse3s@china.com.cn,166 Walton Plaza,,Colorado Springs,Colorado,80920,TRUE
138,87-032-4970,,Johnette,Emeney,,,,718-477-8496,,721 Monica Court,,Flushing,New York,11388,
139,97-459-1062,795-18-6000,Iain,Rzehor,Male,,Swahili,,,672 Larry Avenue,775,Colorado Springs,Colorado,80935,FALSE
140,52-008-3265,576-02-8290,Ferne,Reyburn,Female,Alaska Native,,757-614-2181,freyburn3v@zimbio.com,89 Hallows Avenue,452,Newport News,Virginia,23605,
141,56-907-4581,,Caz,Filimore,,,,,,58465 Lerdahl Way,9017,Greeley,Colorado,80638,
142,14-009-7353,,Bendicty,Romain,Female,Hmong,Greek,570-538-6778,bromain3x@seesaa.net,9506 Bartelt Court,3116,Wilkes Barre,Pennsylvania,18706,
143,57-189-1214,213-84-2721,Christophe,Wankling,Male,Pueblo,Swahili,,cwankling3y@wired.com,8 Mayfield Lane,37,Erie,Pennsylvania,16534,
144,64-740-6513,,Orella,Legrave,Female,Hmong,Bengali,,,61 Elmside Drive,73,San Diego,California,92165,
145,38-768-5090,,Nathan,Geeson,Female,,Irish Gaelic,,ngeeson40@soup.io,2530 Delaware Crossing,,Springfield,Virginia,22156,
146,57-827-5926,,Helene,Chewter,,,,,hchewter41@microsoft.com,148 Mariners Cove Plaza,,Torrance,California,90505,FALSE
147,14-908-1116,828-85-1745,Brear,Manoelli,,,Fijian,316-769-0368,,03055 Mallory Place,,Wichita,Kansas,67210,FALSE
148,71-771-4110,,Damon,Rackley,,Samoan,Croatian,,drackley43@hud.gov,45 Union Circle,,Englewood,Colorado,80150,FALSE
149,51-615-7533,,Willow,Bartosiak,Female,,,212-410-2547,,0 Sycamore Circle,,Jamaica,New York,11480,
150,63-128-9334,,Antonio,Winfield,Female,,,,awinfield45@npr.org,8 Lotheville Park,39,Harrisburg,Pennsylvania,17110,
151,86-136-6400,614-92-0411,Leonhard,Goschalk,Male,,Tetum,323-496-0940,lgoschalk46@ucsd.edu,53957 Bay Hill,392,Los Angeles,California,90040,
152,75-093-4936,490-61-4505,Moselle,Couves,,,Khmer,720-426-1977,,334 Pierstorff Place,,Denver,Colorado,80249,TRUE
153,99-022-8618,,Whittaker,Pilbury,,Yaqui,Punjabi,970-528-4998,wpilbury48@irs.gov,8 Algoma Junction,5,Grand Junction,Colorado,81505,
154,12-081-3434,608-39-4780,Leonhard,Gristhwaite,Male,,Albanian,,lgristhwaite49@chronoengine.com,778 Trailsway Drive,,Waterbury,Connecticut,6705,
155,58-602-4428,249-98-4879,Gerardo,Phizakarley,Female,,Georgian,,gphizakarley4a@wix.com,4136 Crescent Oaks Street,367,Pasadena,California,91199,
156,32-789-2170,174-15-3344,Ham,Sayes,,,Spanish,310-715-3615,,197 Gina Drive,24056,Inglewood,California,90398,FALSE
157,37-148-5161,535-78-2398,Geri,Engledow,Male,Colombian,West Frisian,,gengledow4c@google.co.uk,43 Esker Lane,,Los Angeles,California,90189,FALSE
158,06-870-3509,,Elianora,Shaxby,,Costa Rican,Dhivehi,,eshaxby4d@storify.com,31102 Westridge Road,,Great Neck,New York,11024,
159,33-467-6178,,Tan,Orwin,Female,Asian,Northern Sotho,212-297-1512,,12 Darwin Alley,,New York City,New York,10270,FALSE
160,81-595-6328,,Hephzibah,Minard,,Choctaw,Northern Sotho,,hminard4f@epa.gov,9862 Magdeline Hill,,Pasadena,California,91131,
161,40-965-9583,,Marena,Beeck,Male,Iroquois,Estonian,518-377-1783,mbeeck4g@wordpress.org,75 Portage Plaza,63652,Albany,New York,12247,
162,62-872-6121,430-59-4456,Vinita,MacFall,,,,,vmacfall4h@dot.gov,8 Sherman Parkway,53007,Lancaster,Pennsylvania,17622,TRUE
163,69-794-1529,805-64-2178,Caty,Valencia,Male,Osage,West Frisian,310-178-3114,cvalencia4i@slate.com,27 Swallow Road,,Los Angeles,California,90035,
164,21-598-1992,201-62-1927,Larina,Seadon,,,Aymara,717-635-6596,,3 Charing Cross Plaza,1433,Harrisburg,Pennsylvania,17126,
165,87-251-1897,174-44-8459,Esmeralda,Anchor,Male,Paraguayan,Tsonga,949-601-2124,,0862 Debra Park,,Irvine,California,92619,FALSE
166,84-791-7124,840-69-9278,Regine,Dundendale,,Chamorro,,,rdundendale4l@yahoo.com,12496 Manley Hill,,Richmond,Virginia,23277,TRUE
167,15-841-7219,365-63-2382,Leigh,Jaquiss,Female,,Quechua,,ljaquiss4m@msu.edu,20296 Transport Pass,69,Torrance,California,90505,FALSE
168,42-308-4572,,Michaelina,Ramet,Female,,German,,mramet4n@comcast.net,5513 New Castle Pass,8166,Alhambra,California,91841,
169,00-772-6300,790-91-1121,Karyl,Barnewelle,,,Korean,916-685-4021,kbarnewelle4o@yolasite.com,039 Basil Park,46,Sacramento,California,95813,TRUE
170,04-839-5448,,Mair,Roisen,,,French,510-767-5676,mroisen4p@biblegateway.com,46 Homewood Point,,Oakland,California,94622,
171,54-508-7156,,Teddy,Demeza,,,,,tdemeza4q@amazon.co.uk,455 Hintze Plaza,,Harrisburg,Pennsylvania,17126,
172,89-742-4644,,Bernie,Rayman,Male,,,619-489-4822,,29 Menomonie Court,3,San Diego,California,92176,
173,44-599-5352,,Verene,Petch,Female,,Macedonian,,vpetch4s@cafepress.com,9019 Corben Place,,Erie,Pennsylvania,16565,
174,46-763-0745,,Deirdre,Hebbron,,,Bislama,,,1399 Roth Plaza,,San Jose,California,95123,TRUE
175,02-346-6831,436-07-8013,Ogden,Antrack,,,,,oantrack4u@yelp.com,22 Warner Hill,7,Fresno,California,93762,
176,30-039-0301,258-37-2627,Hoebart,Swalwel,Female,Ute,,,,78 Esker Crossing,92,Topeka,Kansas,66622,
177,23-525-9211,663-42-6747,Winonah,Abela,,,Azeri,310-816-7926,,9 Forster Alley,,Los Angeles,California,90045,
178,33-380-4187,,Anjela,Woonton,,,,719-997-6736,awoonton4x@hc360.com,0238 Pine View Plaza,852,Colorado Springs,Colorado,80930,
179,95-615-3695,,Candace,Boutwell,Male,,,,cboutwell4y@nifty.com,6924 Bluestem Hill,,Kansas City,Kansas,66112,
180,80-102-3184,547-49-2773,Steven,Maso,,Pueblo,Amharic,,smaso4z@ucla.edu,7052 Evergreen Park,,San Diego,California,92105,FALSE
181,16-061-9996,,Darci,Remington,Female,Aleut,,,dremington50@4shared.com,41 Pepper Wood Center,2,Sterling,Virginia,20167,
182,86-109-3150,504-28-2238,Loutitia,Swyer,,,,914-219-8179,,9 Shoshone Way,,Bronx,New York,10464,
183,67-151-2634,772-65-3377,Curt,Halt,Male,Guatemalan,Macedonian,,chalt52@g.co,70390 Di Loreto Pass,,Philadelphia,Pennsylvania,19172,FALSE
184,07-847-5666,,Alf,Grabiec,Male,Cheyenne,Telugu,,agrabiec53@irs.gov,4 Farragut Crossing,,Los Angeles,California,90189,
185,11-909-4757,809-98-5286,Garik,De Cruce,Female,,,,gdecruce54@cloudflare.com,1184 West Trail,77,Jamaica,New York,11480,FALSE
186,81-098-3710,859-38-5988,Paolina,Lafay,Male,Asian Indian,Icelandic,,plafay55@squidoo.com,77 Anniversary Terrace,3,Harrisburg,Pennsylvania,17121,
187,61-000-0316,,Susie,Kiehl,Male,,,,skiehl56@phoca.cz,0 Crownhardt Trail,31,Pittsburgh,Pennsylvania,15250,
188,72-920-0758,295-34-3554,Lela,Helstrip,Female,Menominee,,,,389 Village Green Trail,152,Buffalo,New York,14276,
189,44-411-9224,,Carlynne,O' Shea,Male,Cambodian,Japanese,,,1021 Troy Point,3845,San Bernardino,California,92415,
190,85-869-6069,221-71-1620,Braden,Clynmans,Female,American Indian,Yiddish,,,4 Vernon Crossing,1521,Norwalk,Connecticut,6854,
191,65-404-2177,854-40-7875,Doralyn,Basset,Female,,,,dbasset5a@webs.com,9 Nelson Hill,,Los Angeles,California,90094,TRUE
192,91-483-4723,,Maxy,Gammel,Female,Colombian,Gagauz,805-963-5140,,3 Butterfield Avenue,,Santa Barbara,California,93106,FALSE
